Code,Title,Extension
aa,Afar,OCDS 1.2 draft extension
ab,Abkhazian,OCDS 1.2 draft extension
ae,Avestan,OCDS 1.2 draft extension
af,Afrikaans,OCDS 1.2 draft extension
ak,Akan,OCDS 1.2 draft extension
am,Amharic,OCDS 1.2 draft extension
an,Aragonese,OCDS 1.2 draft extension
ar,Arabic,OCDS 1.2 draft extension
as,Assamese,OCDS 1.2 draft extension
av,Avaric,OCDS 1.2 draft extension
ay,Aymara,OCDS 1.2 draft extension
az,Azerbaijani,OCDS 1.2 draft extension
ba,Bashkir,OCDS 1.2 draft extension
be,Belarusian,OCDS 1.2 draft extension
bg,Bulgarian,OCDS 1.2 draft extension
bh,Bihari languages,OCDS 1.2 draft extension
bi,Bislama,OCDS 1.2 draft extension
bm,Bambara,OCDS 1.2 draft extension
bn,Bengali,OCDS 1.2 draft extension
bo,Tibetan,OCDS 1.2 draft extension
br,Breton,OCDS 1.2 draft extension
bs,Bosnian,OCDS 1.2 draft extension
ca,"Catalan, Valencian",OCDS 1.2 draft extension
ce,Chechen,OCDS 1.2 draft extension
ch,Chamorro,OCDS 1.2 draft extension
co,Corsican,OCDS 1.2 draft extension
cr,Cree,OCDS 1.2 draft extension
cs,Czech,OCDS 1.2 draft extension
cu,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",OCDS 1.2 draft extension
cv,Chuvash,OCDS 1.2 draft extension
cy,Welsh,OCDS 1.2 draft extension
da,Danish,OCDS 1.2 draft extension
de,German,OCDS 1.2 draft extension
dv,"Divehi, Dhivehi, Maldivian",OCDS 1.2 draft extension
dz,Dzongkha,OCDS 1.2 draft extension
ee,Ewe,OCDS 1.2 draft extension
el,Modern Greek,OCDS 1.2 draft extension
en,English,OCDS 1.2 draft extension
eo,Esperanto,OCDS 1.2 draft extension
es,"Spanish, Castilian",OCDS 1.2 draft extension
et,Estonian,OCDS 1.2 draft extension
eu,Basque,OCDS 1.2 draft extension
fa,Persian,OCDS 1.2 draft extension
ff,Fulah,OCDS 1.2 draft extension
fi,Finnish,OCDS 1.2 draft extension
fj,Fijian,OCDS 1.2 draft extension
fo,Faroese,OCDS 1.2 draft extension
fr,French,OCDS 1.2 draft extension
fy,Western Frisian,OCDS 1.2 draft extension
ga,Irish,OCDS 1.2 draft extension
gd,"Gaelic, Scottish Gaelic",OCDS 1.2 draft extension
gl,Galician,OCDS 1.2 draft extension
gn,Guarani,OCDS 1.2 draft extension
gu,Gujarati,OCDS 1.2 draft extension
gv,Manx,OCDS 1.2 draft extension
ha,Hausa,OCDS 1.2 draft extension
he,Hebrew,OCDS 1.2 draft extension
hi,Hindi,OCDS 1.2 draft extension
ho,Hiri Motu,OCDS 1.2 draft extension
hr,Croatian,OCDS 1.2 draft extension
ht,"Haitian, Haitian Creole",OCDS 1.2 draft extension
hu,Hungarian,OCDS 1.2 draft extension
hy,Armenian,OCDS 1.2 draft extension
hz,Herero,OCDS 1.2 draft extension
ia,Interlingua,OCDS 1.2 draft extension
id,Indonesian,OCDS 1.2 draft extension
ie,"Interlingue, Occidental",OCDS 1.2 draft extension
ig,Igbo,OCDS 1.2 draft extension
ii,"Sichuan Yi, Nuosu",OCDS 1.2 draft extension
ik,Inupiaq,OCDS 1.2 draft extension
io,Ido,OCDS 1.2 draft extension
is,Icelandic,OCDS 1.2 draft extension
it,Italian,OCDS 1.2 draft extension
iu,Inuktitut,OCDS 1.2 draft extension
ja,Japanese,OCDS 1.2 draft extension
jv,Javanese,OCDS 1.2 draft extension
ka,Georgian,OCDS 1.2 draft extension
kg,Kongo,OCDS 1.2 draft extension
ki,"Kikuyu, Gikuyu",OCDS 1.2 draft extension
kj,"Kuanyama, Kwanyama",OCDS 1.2 draft extension
kk,Kazakh,OCDS 1.2 draft extension
kl,"Kalaallisut, Greenlandic",OCDS 1.2 draft extension
km,Central Khmer,OCDS 1.2 draft extension
kn,Kannada,OCDS 1.2 draft extension
ko,Korean,OCDS 1.2 draft extension
kr,Kanuri,OCDS 1.2 draft extension
ks,Kashmiri,OCDS 1.2 draft extension
ku,Kurdish,OCDS 1.2 draft extension
kv,Komi,OCDS 1.2 draft extension
kw,Cornish,OCDS 1.2 draft extension
ky,"Kirghiz, Kyrgyz",OCDS 1.2 draft extension
